
"1","Jyoti","21","123456","jyoti@gamil.com","female","resident","MBBS","2 yrs","surgery"


"2","ramesh","24","3456","ramesh@gamil.com","male","intern","MBBS","1 yrs","medicine"

"3","rakesh","27","12456","rakesh@gamil.com","male","resident","MD","4 yrs","cardiology"

"4","ravi","29","1235","ravi@gamil.com","male","intern","MBBS","2 yrs","neurology"

"5","aakash","22","15456","aakash@gamil.com","male","senior doctor","PHD","5 yrs","orthopedic"

"6","sneha","21","128456","sneha@gamil.com","female","resident","MD","3 yrs","radiology"

"7","seeta","20","623456","seeta@gamil.com","female","intern","MBBS","1 yrs","pediatric"


"8","ram","18","723456","ram@gamil.com","male","resident","MD","2 yrs","radiology"

"9","sam","32","12556","sam@gamil.com","Male","senior doctor","MD","5 yrs","radiology"

