"1","Jyoti","21","123456","jyoti@gamil.com","Mumbai branch","female","associate_engineer","2 yrs","2500"


"2","ramesh","24","3456","ramesh@gamil.com","delhi branch","male","engineer","3 yrs","2500"

"3","rakesh","27","12456","rakesh@gamil.com","pune branch","male","engineer","4 yrs","2500"

"4","ravi","29","1235","ravi@gamil.com","lucknow branch","male","clerk","2 yrs","2500"

"5","aakash","22","15456","aakash@gamil.com","amravati branch","male","associate_engineer","2 yrs","2500"

"6","sneha","21","128456","sneha@gamil.com","Manali branch","female","team_lead","5 yrs","2500"

"7","seeta","20","623456","seeta@gamil.com","bangalore branch","female","manager","9 yrs","2500"


"8","ram","18","723456","ram@gamil.com","chennai branch","male","associate_engineer","2 yrs","2500"

"9","sam","32","12556","sam@gamil.com","Mumbai branch","male","engineer","5 yrs","2500"

"10","seema","21","163456","seema@gamil.com","hyderabad branch","female","associate_engineer","2 yrs","2500"

"11","Jhanvi","26","623456","jhanvu@gamil.com","mangalore branch","female","team_lead","6 yrs","2500"


"12","Jaya","26","3456","jaya@gamil.com","Mumbai branch","female","associate_engineer","2 yrs","2500"
