
"1","Jyoti","21","123456","jyoti@gamil.com","female","supervisior","BSc","2 yrs","dbms"


"2","ramesh","24","3456","ramesh@gamil.com","male","supervisior","BSc","1 yrs","java"

"3","rakesh","27","12456","rakesh@gamil.com","male","seniorteacher","Mtech","4 yrs","java"

"4","ravi","29","1235","ravi@gamil.com","male","supervisior","BSc","2 yrs","aoad"

"5","aakash","22","15456","aakash@gamil.com","male","senior doctor","PHD","5 yrs","os"

"6","sneha","21","128456","sneha@gamil.com","female","seniorteacher","Mtech","3 yrs","bee"

"7","seeta","20","623456","seeta@gamil.com","female","supervisior","BSc","1 yrs","mcc"


"8","ram","18","723456","ram@gamil.com","male","seniorteacher","Mtech","2 yrs","cn"

"9","sam","32","12556","sam@gamil.com","Male","senior doctor","Mtech","5 yrs","AI"

